name,categories,mainsubcategory,commercial name,registration code,type,slogan,description,short description,street number,address,city,region,country,website,keywords,phone,mobile,email,fax,latitude,longitude,user,averageRating,views,package,facebook,twitter,googlep,postal code,state,approved,contact_name,contact_email,contact_phone,contact_fax
Menzel Vision & Robotics Pvt Ltd,Digital Camera,,IC-C15 / IC-M15 Digital Camera,,,,The IC-C15 / IC-M15 industrial Digital Camera offers high performance in a very small footprint. The advanced 15M Color/Mono CMOS sensor provides the absolute best image quality at an incredible frame rate of 4 5 fps! The camera Link Interface ensures High speed data transmission necessary for a wide variety of app...,,,"4, A-Wing, Bezzola Complex, Sion Trombay Road Chembur",Mumbai,Maharashtra,India,http://www.menzelrobovision.com/,,(91)-22-67993158,9323786005,,,,,,,,,,,,,,,Mr. Menzel Vision And Robotics Pvt Ltd,,8447572767,
Sunshine Instruments,Digital Camera,,Digital Cameras,,,,,,,"P.B. No. 3910, No. 83, Chinny\'s Chamber, Dr. Nanjappa Road Near Sony Service Center",Coimbatore,Tamil Nadu,India,http://www.digitalinstrumentsindia.com/,,(91)-422-2393357,8098183480,,,,,,,,,,,,,,,Mr. Devang Thakkar,,8588848410,
Kentair Eco Corporation Ltd.Lp,Digital Camera,,Outdoor Camera,,,,"We are acknowledged in offering an exclusive range of Cameras to our clients. This ravishing collection is processed using finest quality materials under the supervision of our creative and skilled professional s. Designed in compliance for best operation purpose, they are offered in a multitude of designs and patt...",,,"No. J- 9, Silver Oak Estate Gamma- 2",Greater Noida,Uttar Pradesh,India,http://www.kentaircorporation.com/,,(91)-120-4299108,9278484108,,,,,,,,,,,,,,,Mr. Mahesh Uppal,,8377802108,
Vjm Industries,Digital Camera,,Digital Cameras,,,,We have on offer a wide assortment of digital cameras available in black and metallic silver to choose from. Digital camera provided by us possesses high mega pixel quality. This camera delivers high resolution pictures. This is also provided with optical zoom lens which makes it to get clearer picture of even distant objects. We provide these with electric charged batteries. These are offered at highly competitive prices.,,,"No. 381, 2nd Floor, Patparganj Industrial Area",New Delhi,Delhi,India,http://www.giftingideas.co.in/,,=,8800699571,,,,,,,,,,,,,,,Mrs.Abha Joshi,,8373904136,
Abacus Infotech,Digital Camera,,PTZ Camera,,,,"We offer Speed Dome Camera & PTZ Camera. Features : * 1/4 inch sony ccd. * 75Â°/s pan preset speed and 50Â°/s tilt preset speed. * 0. 2-75Â°/s manual pan speed and 0. 3-50Â°/s manual tilt speed. * weather proof: ip66 standard. For more details, please click pdf attached.",,,"211, Blue Rose Industrial Premises, 2nd Floor, Above Maruti Showroom, Datta Pada Off Western Express Highway, Borivali East",Mumbai,Maharashtra,India,http://www.abacusinfotech.info/,,(91)-22-65263486,9324675033,,,,,,,,,,,,,,,Mr. Bhavik Shah,,8377802063,
Authentic Audio Visual Private Limited,Digital Camera,,EVID Camera,,,,"The Sony EVI-D100 (NTSC) and EVI-D100P (PAL) video cameras are a great choice for any application that requires a high-quality color video camera with the flexibility of remote pan/tilt/zoom operation, all in a compact easy-to-use package. These high quality CCD cameras combine a high-speed, quiet pan/tilt with a w...",,,"H-34B, Street No. 4, Shakarpur Main Market, Near Sanjay Park",New Delhi,Delhi,India,http://www.authenticaudiovisual.com/,,(91)-11-45874247,9810405369,,,,,,,,,,,,,,,Mr. Dheeraj Chaudhary,,8377801600,
Kwality Micro Scientific,Digital Camera,,Scientific Digital Camera,,,,"Being an eminent manufacturer, supplier and exporter, we are engrossed in providing Scientific Digital Camera. Employing modern machinery and cutting-edge technology in the manufacturing process of these camera s, we aim to attain highest benchmarks of quality. Further, we offer these cameras in different specifications and models to suit the demands of customers. Features: * Longer functional life * High performance * Minimal maintenance",,,"No. 5337, Punjabi Mohalla Near B. D. High School",Ambala,Haryana,India,http://www.kwalityindia.in/,,(91)-171-4006034,8813998711,,,,,,,,,,,,,,,Mr. Gourav Verma,,8588815310,
Yug Electronics,Digital Camera,,Digital Camera,,,,"Working with a belief to make our customers satisfied, we have introduced Digital Camera, designed & developed at our vendor base. These products are imparted with advanced working mechanism and thus, offer lon ger functional life with excellent performance. Prices offered are minimal and we hit our delivery in a c...",,,"plot No. 7- A, Moti Nagar, Queens Road, Vaishali Nagar",Jaipur,Rajasthan,India,http://www.yugelectronics.com/,,=,9782400420,,,,,,,,,,,,,,,Mr. Mohit Sharma,,9643205779,
Jalan Distributors,Digital Camera,,Sony Digital Camera,,,,"Our esteemed clients can avail an exclusive range of SONY DIGITAL CAMERAS at industry leading prices. These are designed using premium grade materials and advanced technology. We provide Sony cameras for those family videos, filming documentaries or developing feature films etc. these can be used easily due to light in weight and slight in size. They are highly appreciated for capturing the moments which are very precious with accuracy in performance.",,,"No. 2, Health Officer Building, Town Hall",Gorakhpur,Uttar Pradesh,India,http://www.jalandistributors.net.in/,,(91)-551-2336152,9415314060,,,,,,,,,,,,,,,Mr. Sanjay Jalan,,8373904648,
A. S. Marketing,Digital Camera,,Digital Zoom Camera,,,,"We offer our client with some unique products of digital camera like Sony, Samsung, Canon, Kodak in Gujarat. We are offering best qualitative product to most competitive price. We are Looking for Buyers from Gujarat Only.",,,"A/126, 1st Floor, Sakar VII, Near Nehru Bridge Corner, Ashram Road",Ahmedabad,Gujarat,India,http://www.ashospitalityindia.com/,,(91)-79-26575010,9824026286,,,,,,,,,,,,,,,Mr. Nasiruddin Saiyed,,8376805966,
